,Total Population,Population in Households,Population in Familes,Population in Group Qrtrs,Population Density2,Diversity Index3,Median Household Income,Average Household Income,Per Capita Income,Total Housing Units,Owner Occupied HU,Renter Occupied HU,Vacant Housing Units,Median Home Value,Average Home Value,Total Households,Average Household Size,Family Households,Average Family Size
98144,31513,30764,20722,749,9181,79,"$67,994","$98,614","$42,116","14,366 (100%)","6,493 (45.2%)","6,754 (47.0%)","1,119 ( 7.8%)","$485,502","$628,731",13247,2.32,6727,3
98148,9946,9885,7433,61,3345,79,"$55,513","$70,317","$28,158","4,265 (100%)","1,836 (43.0%)","2,117 (49.6%)",312 ( 7.3%),"$328,816","$363,644",3953,2.5,2315,3
98155,35418,34826,27141,592,4623,56,"$83,488","$110,782","$44,691","14,833 (100%)","9,788 (66.0%)","4,317 (29.1%)",728 ( 4.9%),"$415,028","$492,833",14105,2.47,9049,3
98168,37266,36936,28741,330,4099,85,"$55,304","$70,044","$24,175","13,626 (100%)","6,608 (48.5%)","6,093 (44.7%)",925 ( 6.8%),"$302,039","$358,599",12701,2.91,7999,4
98178,26436,26283,21073,153,5260,79,"$66,248","$84,667","$29,971","9,918 (100%)","5,714 (57.6%)","3,582 (36.1%)",622 ( 6.3%),"$365,343","$435,916",9296,2.83,6123,3
98198,38463,37208,29078,1255,4912,78,"$64,868","$85,417","$32,923","15,733 (100%)","8,143 (51.8%)","6,254 (39.8%)","1,336 ( 8.5%)","$334,774","$397,934",14397,2.58,9071,3
98201,33003,29905,19653,3098,1860,55,"$48,804","$65,958","$30,262","14,977 (100%)","5,427 (36.2%)","8,385 (56.0%)","1,165 ( 7.8%)","$294,219","$357,578",13812,2.17,6450,3
98203,36967,36597,28395,370,3104,56,"$67,796","$89,129","$34,765","15,092 (100%)","8,839 (58.6%)","5,438 (36.0%)",815 ( 5.4%),"$319,889","$375,916",14277,2.56,9062,3
98204,43704,43596,31788,108,5710,79,"$51,684","$62,362","$24,713","18,239 (100%)","5,968 (32.7%)","11,292 (61.9%)",979 ( 5.4%),"$254,377","$302,585",17260,2.53,9643,3
98208,58472,58095,47858,377,4369,60,"$81,031","$95,759","$34,804","21,686 (100%)","14,044 (64.8%)","7,073 (32.6%)",569 ( 2.6%),"$343,438","$370,240",21117,2.75,14606,3
98221,21922,21775,17159,147,389,26,"$72,399","$95,803","$42,357","11,650 (100%)","6,600 (56.7%)","3,040 (26.1%)","2,010 (17.3%)","$490,347","$577,845",9640,2.26,6235,3
98223,45109,44901,37511,208,139,35,"$76,268","$88,805","$32,106","17,368 (100%)","12,119 (69.8%)","4,109 (23.7%)","1,140 ( 6.6%)","$347,375","$405,155",16228,2.77,11759,3
98225,48356,43201,22134,5155,3612,39,"$47,120","$66,329","$29,601","21,696 (100%)","7,694 (35.5%)","12,771 (58.9%)","1,231 ( 5.7%)","$381,494","$446,341",20465,2.11,7965,3
98226,45382,45029,34920,353,416,52,"$62,437","$84,560","$33,659","18,938 (100%)","11,178 (59.0%)","6,743 (35.6%)","1,017 ( 5.4%)","$377,969","$458,850",17921,2.51,11402,3
98229,33430,33312,24481,118,640,37,"$65,708","$87,075","$35,886","15,107 (100%)","8,806 (58.3%)","4,925 (32.6%)","1,376 ( 9.1%)","$395,054","$466,920",13731,2.43,8443,3
98230,17367,17312,14063,55,391,35,"$64,964","$88,258","$36,388","9,474 (100%)","5,060 (53.4%)","2,081 (22.0%)","2,333 (24.6%)","$365,659","$424,946",7141,2.42,4800,3
98233,15159,15028,12025,131,499,67,"$62,312","$75,859","$28,580","6,065 (100%)","3,444 (56.8%)","2,208 (36.4%)",413 ( 6.8%),"$296,787","$361,273",5652,2.66,3771,3
98240,3329,3322,2826,7,149,36,"$77,322","$105,784","$37,793","1,246 (100%)",953 (76.5%),234 (18.8%),59 ( 4.7%),"$398,731","$443,861",1187,2.8,886,3
98245,4767,4743,3401,24,114,25,"$50,648","$75,998","$37,486","4,004 (100%)","1,658 (41.4%)",686 (17.1%),"1,660 (41.5%)","$574,432","$656,167",2344,2.02,1313,3
98247,9125,9114,7942,11,147,58,"$66,572","$84,388","$28,544","3,283 (100%)","2,242 (68.3%)",840 (25.6%),201 ( 6.1%),"$357,882","$477,386",3082,2.96,2398,3
98248,24963,24819,21177,144,356,47,"$65,460","$82,915","$30,104","9,661 (100%)","6,485 (67.1%)","2,526 (26.1%)",650 ( 6.7%),"$362,517","$427,494",9011,2.75,6593,3
98249,4623,4599,3515,24,292,21,"$67,574","$92,083","$43,174","3,164 (100%)","1,659 (52.4%)",504 (15.9%),"1,001 (31.6%)","$395,192","$525,482",2163,2.13,1338,3
98250,7940,7800,5764,140,128,30,"$60,815","$81,819","$38,488","6,145 (100%)","2,663 (43.3%)","1,033 (16.8%)","2,449 (39.9%)","$542,784","$634,576",3696,2.11,2179,3
98251,5758,5744,4409,14,19,35,"$62,037","$71,896","$28,980","3,026 (100%)","1,857 (61.4%)",457 (15.1%),712 (23.5%),"$244,333","$311,968",2314,2.48,1441,3
98252,9461,9456,7722,5,40,30,"$73,875","$87,670","$32,377","3,989 (100%)","2,692 (67.5%)",800 (20.1%),497 (12.5%),"$307,249","$370,765",3492,2.71,2415,3
98253,1785,1785,1401,0,148,22,"$62,044","$83,980","$40,696","1,362 (100%)",698 (51.2%),167 (12.3%),497 (36.5%),"$369,780","$473,317",865,2.06,567,2
98258,49681,49644,42147,37,1325,39,"$86,929","$102,801","$35,804","17,963 (100%)","13,464 (75.0%)","3,827 (21.3%)",672 ( 3.7%),"$345,554","$420,527",17291,2.87,12903,3
98260,5954,5895,4391,59,226,20,"$63,580","$86,717","$41,205","3,708 (100%)","1,976 (53.3%)",841 (22.7%),891 (24.0%),"$410,526","$501,632",2817,2.09,1668,3
98264,21001,20827,18109,174,358,44,"$61,431","$80,769","$29,232","7,925 (100%)","5,105 (64.4%)","2,422 (30.6%)",398 ( 5.0%),"$358,208","$426,729",7527,2.77,5521,3
98266,4052,4052,3222,0,12,36,"$44,119","$54,013","$19,275","1,881 (100%)","1,035 (55.0%)",411 (21.9%),435 (23.1%),"$192,168","$314,928",1446,2.8,950,3
98271,31026,30769,25662,257,669,54,"$74,730","$88,120","$31,603","11,683 (100%)","8,574 (73.4%)","2,453 (21.0%)",656 ( 5.6%),"$299,779","$384,048",11027,2.79,8098,3
98272,30217,27737,23335,2480,276,51,"$85,110","$102,240","$35,126","10,077 (100%)","6,951 (69.0%)","2,561 (25.4%)",565 ( 5.6%),"$371,984","$433,787",9512,2.92,6967,3
98273,30314,29795,23947,519,340,70,"$56,582","$75,768","$27,206","11,413 (100%)","6,523 (57.2%)","4,145 (36.3%)",745 ( 6.5%),"$326,321","$383,137",10668,2.79,7131,3
98275,22184,22155,18534,29,3220,51,"$105,718","$140,395","$55,383","9,155 (100%)","6,027 (65.8%)","2,717 (29.7%)",411 ( 4.5%),"$552,448","$614,692",8744,2.53,6070,3
98277,39217,38675,31838,542,690,55,"$56,856","$70,418","$28,118","17,434 (100%)","8,567 (49.1%)","7,005 (40.2%)","1,862 (10.7%)","$271,628","$315,493",15572,2.48,10679,3
98282,16595,16580,13823,15,416,22,"$73,850","$89,632","$37,733","8,984 (100%)","5,743 (63.9%)","1,240 (13.8%)","2,001 (22.3%)","$353,759","$430,267",6983,2.37,4979,3
98284,25990,25426,20517,564,59,41,"$66,919","$79,936","$30,747","10,720 (100%)","6,935 (64.7%)","2,820 (26.3%)",965 ( 9.0%),"$287,871","$338,140",9755,2.61,6666,3
98290,37374,36966,31246,408,359,29,"$86,847","$104,450","$38,438","14,610 (100%)","10,577 (72.4%)","3,041 (20.8%)",992 ( 6.8%),"$425,562","$489,624",13618,2.71,9979,3
98292,23108,22886,19097,222,305,28,"$82,859","$101,045","$38,008","9,385 (100%)","6,596 (70.3%)","2,021 (21.5%)",768 ( 8.2%),"$400,088","$465,002",8617,2.66,6131,3
98296,27508,27479,24644,29,757,38,"$122,541","$152,719","$50,785","9,455 (100%)","8,165 (86.4%)",976 (10.3%),314 ( 3.3%),"$509,658","$571,258",9141,3.01,7425,3
98310,20140,19803,14090,337,3380,56,"$54,181","$70,320","$31,405","9,678 (100%)","4,419 (45.7%)","4,411 (45.6%)",848 ( 8.8%),"$254,945","$301,018",8830,2.24,4820,3
98311,25997,25802,21556,195,2434,55,"$75,635","$90,995","$33,916","10,295 (100%)","7,142 (69.4%)","2,474 (24.0%)",679 ( 6.6%),"$272,613","$320,852",9616,2.68,6942,3
98312,33048,32691,25300,357,490,48,"$60,849","$81,736","$33,444","15,411 (100%)","8,522 (55.3%)","4,877 (31.6%)","2,012 (13.1%)","$298,126","$368,699",13399,2.44,8552,3
98321,17192,16739,14102,453,59,26,"$78,366","$94,022","$33,392","6,209 (100%)","4,678 (75.3%)","1,273 (20.5%)",258 ( 4.2%),"$347,289","$400,668",5951,2.81,4380,3
98325,1925,1920,1492,5,66,27,"$55,669","$64,133","$27,341",894 (100%),633 (70.8%),186 (20.8%),75 ( 8.4%),"$288,869","$376,066",819,2.34,523,3
98328,11030,11020,9285,10,91,28,"$67,764","$84,035","$30,636","4,495 (100%)","3,172 (70.6%)",845 (18.8%),478 (10.6%),"$352,998","$405,714",4017,2.74,2943,3
98329,11338,11310,9614,28,439,29,"$80,026","$97,776","$35,767","4,386 (100%)","3,449 (78.6%)",689 (15.7%),248 ( 5.7%),"$320,839","$380,726",4138,2.73,3142,3
98331,6456,6023,4753,433,4,72,"$46,159","$56,633","$21,197","2,604 (100%)","1,603 (61.6%)",649 (24.9%),352 (13.5%),"$136,263","$164,613",2252,2.67,1515,3
98336,834,834,661,0,37,21,"$50,864","$61,729","$25,313",386 (100%),259 (67.1%),83 (21.5%),44 (11.4%),"$171,354","$179,151",342,2.44,227,3
98339,3680,3660,2789,20,538,29,"$41,328","$54,561","$24,215","1,827 (100%)","1,121 (61.4%)",504 (27.6%),202 (11.1%),"$217,287","$279,103",1625,2.25,1005,3
98346,10487,10487,8678,0,344,38,"$80,949","$100,612","$39,537","4,556 (100%)","3,222 (70.7%)",899 (19.7%),435 ( 9.5%),"$399,702","$448,076",4121,2.54,2926,3
98356,2425,2371,1854,54,13,25,"$43,719","$54,815","$23,636","1,217 (100%)",701 (57.6%),327 (26.9%),189 (15.5%),"$163,650","$212,447",1028,2.31,669,3
98360,14559,14444,12473,115,62,36,"$83,511","$95,279","$32,862","5,296 (100%)","4,139 (78.2%)",841 (15.9%),316 ( 6.0%),"$278,921","$328,950",4980,2.9,3857,3
98362,23013,22751,17035,262,94,25,"$49,436","$64,136","$28,628","11,248 (100%)","7,293 (64.8%)","2,908 (25.9%)","1,047 ( 9.3%)","$248,907","$287,245",10201,2.23,6136,3
98363,14108,13923,11016,185,53,34,"$50,925","$67,924","$28,294","6,888 (100%)","4,420 (64.2%)","1,408 (20.4%)","1,060 (15.4%)","$238,243","$285,119",5828,2.39,3834,3
98366,35774,34758,27587,1016,1474,41,"$62,566","$78,819","$31,536","15,058 (100%)","8,958 (59.5%)","4,922 (32.7%)","1,178 ( 7.8%)","$284,697","$347,968",13880,2.5,9192,3
98367,30067,29943,25644,124,400,36,"$79,939","$93,387","$34,251","11,593 (100%)","9,317 (80.4%)","1,665 (14.4%)",611 ( 5.3%),"$326,838","$375,623",10982,2.73,8359,3
98368,15822,15667,11016,155,276,22,"$51,302","$70,368","$34,767","8,997 (100%)","5,403 (60.1%)","2,364 (26.3%)","1,230 (13.7%)","$332,245","$382,824",7767,2.02,4275,3
98370,31771,31471,26098,300,590,38,"$81,917","$97,030","$38,677","13,450 (100%)","9,690 (72.0%)","2,868 (21.3%)",892 ( 6.6%),"$396,443","$456,976",12558,2.51,8748,3
98371,21503,21251,16984,252,1849,41,"$69,735","$87,390","$34,971","9,079 (100%)","5,886 (64.8%)","2,620 (28.9%)",573 ( 6.3%),"$331,512","$360,410",8506,2.5,5636,3
98373,24428,24357,19624,71,2667,51,"$68,660","$86,288","$32,847","9,553 (100%)","5,317 (55.7%)","3,954 (41.4%)",282 ( 3.0%),"$314,488","$361,383",9271,2.63,6353,3
98375,32765,32761,28665,4,3311,63,"$82,409","$95,659","$30,430","10,799 (100%)","8,041 (74.5%)","2,380 (22.0%)",378 ( 3.5%),"$268,954","$293,266",10421,3.14,8282,3
98382,29443,29035,22291,408,124,25,"$51,392","$67,548","$31,917","15,509 (100%)","10,989 (70.9%)","2,815 (18.2%)","1,705 (11.0%)","$286,357","$328,563",13804,2.1,8597,3
